survival_functions,epochs,chance_create_line,chance_cycle,chance_erase_line,chance_invert,chance_merge,chance_merge_specimen,chance_rot_cycle,chance_rot_right,chance_split,fitness
0,100,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,32.2022274504232
0,100,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.2,33.691252986169914
0,100,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.2,31.462616097514694
0,100,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.2,0.8,32.50387791956529
0,100,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,32.851847740191936
0,100,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.2,0.2,32.097585135809915
0,100,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.8,32.702781561106946
0,100,0.2,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.2,30.813822616115598
0,100,0.2,0.2,0.2,0.2,0.2,0.8,0.2,0.8,0.2,30.75083750492497
0,100,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.2,30.63335099565067
0,100,0.2,0.2,0.2,0.2,0.2,0.8,0.2,0.8,0.8,31.3017032938958
0,100,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.8,31.457226436046955
0,100,0.2,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.8,31.564423303694806
0,100,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.8,32.08443751918409
0,100,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.2,30.602303823728153
0,100,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.2,25.93070645852825
0,100,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.8,0.2,27.050819487735254
0,100,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,31.630472999291417
0,100,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8,30.209747144926396
0,100,0.2,0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.2,26.910816264420276
0,100,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.8,0.8,30.713506219689958
0,100,0.2,0.2,0.2,0.2,0.8,0.2,0.8,0.8,0.2,24.294925140689713
0,100,0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.2,0.2,24.050553153957996
0,100,0.2,0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.8,29.227424765634094
0,100,0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.8,0.2,25.279642124535428
0,100,0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.2,0.8,29.72986193872539
0,100,0.2,0.2,0.2,0.2,0.8,0.2,0.8,0.8,0.8,28.898414956591207
0,100,0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.8,0.8,28.85687029141067
0,100,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.2,0.2,24.58464640506284
0,100,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.2,23.892063306532908
0,100,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.2,0.8,28.96394707532522
0,100,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.8,29.225158922065276
0,100,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.2,32.122072477939916
0,100,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8,0.2,31.28603577731055
0,100,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.8,33.07157721843641
0,100,0.2,0.2,0.2,0.8,0.2,0.2,0.8,0.2,0.2,32.59472136475252
0,100,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8,0.8,33.33434159377696
0,100,0.2,0.2,0.2,0.8,0.2,0.2,0.8,0.8,0.2,32.461496406283885
0,100,0.2,0.2,0.2,0.8,0.2,0.2,0.8,0.2,0.8,32.85028337038416
0,100,0.2,0.2,0.2,0.8,0.2,0.2,0.8,0.8,0.8,32.82062676833714
