survival_functions,epochs,chance_rot_cycle,chance_rot_right,chance_invert,chance_erase_stop,chance_add_stop,chance_add_stop_mix,chance_replace_stops,chance_replace_stops_proximity,chance_create_line,chance_cycle,chance_erase_line,chance_merge,chance_merge_mix,chance_split,cycle_stops_shift,chance_merge_specimen,chance_cycle_stops_shift,chance_line_based_merge,fitness
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.1,0.1,33.87106710684694
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.1,0.1,34.11723189151625
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.3,0.1,33.127853667767134
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.3,0.1,34.57390569594926
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.1,0.3,33.670255003832374
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.3,0.3,33.665687560224676
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.3,0.3,34.4288894079154
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.1,0.3,34.78328810181039
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.1,0.1,34.443734451290766
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.1,0.3,33.97336932990708
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.3,0.1,34.28062469433846
